angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,mean_W,std_W,mean_uW
0,4.5728184e-06,4.5718657e-06,4.57154829e-06,4.57218357e-06,4.57027727e-06,4.5728184e-06,4.56868929e-06,4.57218357e-06,4.56900671e-06,4.57154829e-06,4.56741918e-06,4.56995986e-06,4.56805401e-06,4.56900671e-06,4.56868929e-06,4.56741918e-06,4.56741918e-06,4.5677366e-06,4.56900671e-06,4.56487851e-06,4.56741918e-06,4.56519592e-06,4.56837188e-06,4.5658312e-06,4.56424323e-06,4.5645611e-06,4.5636084e-06,4.56202042e-06,4.5636084e-06,4.56043244e-06,4.56424323e-06,4.55947975e-06,4.5636084e-06,4.55884447e-06,4.56265525e-06,4.55979716e-06,4.55916233e-06,4.55884447e-06,4.55820964e-06,4.55725603e-06,4.55884447e-06,4.55566806e-06,4.55630334e-06,4.55535064e-06,4.55344525e-06,4.55376266e-06,4.55344525e-06,4.55376266e-06,4.55376266e-06,4.55090458e-06,4.5637034238e-06,6.17834836772223e-09,4.5637034238
1,4.25427334e-06,4.25109738e-06,4.25300323e-06,4.25395592e-06,4.25427334e-06,4.25236794e-06,4.25522603e-06,4.25173266e-06,4.25490862e-06,4.25236794e-06,4.25586131e-06,4.25173266e-06,4.25586131e-06,4.25109738e-06,4.25649614e-06,4.25268536e-06,4.25649614e-06,4.25395592e-06,4.25649614e-06,4.25300323e-06,4.25395592e-06,4.25077997e-06,4.25649614e-06,4.25173266e-06,4.25490862e-06,4.25077997e-06,4.25395592e-06,4.25363805e-06,4.25522603e-06,4.25236794e-06,4.25554344e-06,4.25141525e-06,4.25586131e-06,4.25236794e-06,4.25586131e-06,4.25332064e-06,4.25586131e-06,4.25109738e-06,4.25490862e-06,4.25395592e-06,4.25427334e-06,4.25109738e-06,4.25490862e-06,4.25236794e-06,4.25300323e-06,4.25236794e-06,4.25522603e-06,4.25395592e-06,4.25236794e-06,4.25236794e-06,4.2536572522000005e-06,1.73178000667318e-09,4.253657252200001
2,4.18535546e-06,4.18503805e-06,4.18789614e-06,4.18630816e-06,4.18789614e-06,4.18630816e-06,4.18599075e-06,4.18789614e-06,4.18376749e-06,4.18567288e-06,4.18345007e-06,4.18789614e-06,4.18408536e-06,4.18599075e-06,4.18503805e-06,4.18789614e-06,4.18630816e-06,4.18662557e-06,4.18440277e-06,4.18757827e-06,4.18662557e-06,4.18916716e-06,4.18376749e-06,4.18789614e-06,4.18408536e-06,4.18630816e-06,4.18853188e-06,4.18567288e-06,4.18630816e-06,4.18726086e-06,4.18503805e-06,4.18503805e-06,4.18630816e-06,4.18726086e-06,4.18662557e-06,4.18503805e-06,4.18662557e-06,4.18567288e-06,4.18694344e-06,4.18630816e-06,4.18694344e-06,4.18789614e-06,4.18503805e-06,4.18789614e-06,4.18630816e-06,4.18789614e-06,4.18630816e-06,4.18503805e-06,4.18662557e-06,4.18662557e-06,4.186289170400001e-06,1.3329593123436855e-09,4.1862891704
3,4.16248849e-06,4.16344164e-06,4.16217108e-06,4.16217108e-06,4.1615358e-06,4.16344164e-06,4.16217108e-06,4.16471266e-06,4.16312378e-06,4.16471266e-06,4.16312378e-06,4.16471266e-06,4.16217108e-06,4.16566536e-06,4.16248849e-06,4.16407738e-06,4.16344164e-06,4.16280636e-06,4.16026569e-06,4.16280636e-06,4.16344164e-06,4.16280636e-06,4.16217108e-06,4.16503008e-06,4.16312378e-06,4.16344164e-06,4.16217108e-06,4.16344164e-06,4.1615358e-06,4.16471266e-06,4.16375906e-06,4.16217108e-06,4.1643948e-06,4.16312378e-06,4.16344164e-06,4.16503008e-06,4.1643948e-06,4.16280636e-06,4.16312378e-06,4.16375906e-06,4.16185367e-06,4.16248849e-06,4.16217108e-06,4.16407738e-06,4.16217108e-06,4.16344164e-06,4.16344164e-06,4.16503008e-06,4.16280636e-06,4.16185367e-06,4.16317488e-06,1.0992454060436463e-09,4.16317488
4,4.14502165e-06,4.14629176e-06,4.14565648e-06,4.14819715e-06,4.14660917e-06,4.14851456e-06,4.14597434e-06,4.14660917e-06,4.14470378e-06,4.14724445e-06,4.14438637e-06,4.14819715e-06,4.14502165e-06,4.14851456e-06,4.1440685e-06,4.14819715e-06,4.14692704e-06,4.14724445e-06,4.14438637e-06,4.14819715e-06,4.14438637e-06,4.14597434e-06,4.14502165e-06,4.14660917e-06,4.1440685e-06,4.14660917e-06,4.14533906e-06,4.14851456e-06,4.14597434e-06,4.14724445e-06,4.14565648e-06,4.14819715e-06,4.14819715e-06,4.14787974e-06,4.14787974e-06,4.14851456e-06,4.14629176e-06,4.14692704e-06,4.14692704e-06,4.14597434e-06,4.14692704e-06,4.14597434e-06,4.14533906e-06,4.14756187e-06,4.14660917e-06,4.14851456e-06,4.14533906e-06,4.14597434e-06,4.14692704e-06,4.14819715e-06,4.1465902628e-06,1.3404234583997055e-09,4.146590262799999
5,4.13676389e-06,4.13739872e-06,4.13835187e-06,4.13676389e-06,4.13835187e-06,4.13549333e-06,4.13612861e-06,4.13612861e-06,4.138034e-06,4.13739872e-06,4.1358112e-06,4.138034e-06,4.138034e-06,4.138034e-06,4.13612861e-06,4.13835187e-06,4.13644602e-06,4.138034e-06,4.1358112e-06,4.138034e-06,4.13708131e-06,4.13739872e-06,4.138034e-06,4.13835187e-06,4.13549333e-06,4.138034e-06,4.13835187e-06,4.13644602e-06,4.138034e-06,4.13835187e-06,4.13676389e-06,4.13612861e-06,4.1358112e-06,4.13676389e-06,4.138034e-06,4.13612861e-06,4.13835187e-06,4.13676389e-06,4.13835187e-06,4.13549333e-06,4.13676389e-06,4.138034e-06,4.13835187e-06,4.1358112e-06,4.13962289e-06,4.13771659e-06,4.13644602e-06,4.13708131e-06,4.13676389e-06,4.1389867e-06,4.1372655784e-06,1.0400283139940326e-09,4.1372655784
6,4.13708131e-06,4.13358794e-06,4.1358112e-06,4.13327052e-06,4.1348585e-06,4.13454063e-06,4.13454063e-06,4.13295311e-06,4.1358112e-06,4.13327052e-06,4.13422322e-06,4.13295311e-06,4.13549333e-06,4.13327052e-06,4.1339058e-06,4.1339058e-06,4.13549333e-06,4.1348585e-06,4.13517591e-06,4.13358794e-06,4.13708131e-06,4.13422322e-06,4.13549333e-06,4.13200041e-06,4.1358112e-06,4.13422322e-06,4.1348585e-06,4.1348585e-06,4.1339058e-06,4.13358794e-06,4.13358794e-06,4.13549333e-06,4.1358112e-06,4.13549333e-06,4.13517591e-06,4.13549333e-06,4.1358112e-06,4.1339058e-06,4.13549333e-06,4.1358112e-06,4.13327052e-06,4.13327052e-06,4.13263524e-06,4.13549333e-06,4.13454063e-06,4.13422322e-06,4.13422322e-06,4.13517591e-06,4.13454063e-06,4.13454063e-06,4.1345725373999994e-06,1.0987003261177545e-09,4.1345725373999995
7,4.13866928e-06,4.13771659e-06,4.13739872e-06,4.13708131e-06,4.13962289e-06,4.13708131e-06,4.138034e-06,4.13517591e-06,4.13930502e-06,4.13739872e-06,4.13866928e-06,4.13549333e-06,4.13930502e-06,4.13866928e-06,4.13835187e-06,4.13771659e-06,4.138034e-06,4.13835187e-06,4.13644602e-06,4.1358112e-06,4.13676389e-06,4.13612861e-06,4.138034e-06,4.13708131e-06,4.13835187e-06,4.1389867e-06,4.13866928e-06,4.13708131e-06,4.1399403e-06,4.13835187e-06,4.138034e-06,4.13771659e-06,4.13739872e-06,4.13676389e-06,4.13866928e-06,4.13676389e-06,4.1389867e-06,4.13835187e-06,4.13771659e-06,4.13835187e-06,4.13866928e-06,4.138034e-06,4.1389867e-06,4.13739872e-06,4.14025772e-06,4.138034e-06,4.14025772e-06,4.138034e-06,4.13708131e-06,4.13739872e-06,4.1379325384e-06,1.1138272786969793e-09,4.1379325384
8,4.14819715e-06,4.14787974e-06,4.14914985e-06,4.14819715e-06,4.14851456e-06,4.14819715e-06,4.14756187e-06,4.14724445e-06,4.14851456e-06,4.14756187e-06,4.14914985e-06,4.14724445e-06,4.14914985e-06,4.14692704e-06,4.14692704e-06,4.14565648e-06,4.14692704e-06,4.14597434e-06,4.14629176e-06,4.14597434e-06,4.14724445e-06,4.14724445e-06,4.14851456e-06,4.14502165e-06,4.14597434e-06,4.14724445e-06,4.14851456e-06,4.14597434e-06,4.14629176e-06,4.14597434e-06,4.14692704e-06,4.14502165e-06,4.14819715e-06,4.14597434e-06,4.14597434e-06,4.14502165e-06,4.14851456e-06,4.14533906e-06,4.14660917e-06,4.14692704e-06,4.14819715e-06,4.14692704e-06,4.14692704e-06,4.14660917e-06,4.14724445e-06,4.14660917e-06,4.14756187e-06,4.14724445e-06,4.14819715e-06,4.14819715e-06,4.1471492016e-06,1.1096072267291077e-09,4.1471492016
9,4.16344164e-06,4.16280636e-06,4.1615358e-06,4.16344164e-06,4.16280636e-06,4.16375906e-06,4.16375906e-06,4.16375906e-06,4.16375906e-06,4.16375906e-06,4.16312378e-06,4.16503008e-06,4.16344164e-06,4.16471266e-06,4.16217108e-06,4.16248849e-06,4.16217108e-06,4.16185367e-06,4.16121838e-06,4.16217108e-06,4.1615358e-06,4.16280636e-06,4.16375906e-06,4.16185367e-06,4.16280636e-06,4.16280636e-06,4.16217108e-06,4.16217108e-06,4.16121838e-06,4.16375906e-06,4.16248849e-06,4.16471266e-06,4.1615358e-06,4.16248849e-06,4.16217108e-06,4.16375906e-06,4.16248849e-06,4.1643948e-06,4.16217108e-06,4.16280636e-06,4.16312378e-06,4.16344164e-06,4.16375906e-06,4.16185367e-06,4.16375906e-06,4.16503008e-06,4.16344164e-06,4.16471266e-06,4.16248849e-06,4.16248849e-06,4.1629842226e-06,9.906510035462482e-10,4.1629842226000005
