angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,mean_W,std_W,mean_uW
0,2.77905633e-06,2.77715094e-06,2.77905633e-06,2.77683353e-06,2.77683353e-06,2.77905633e-06,2.77683353e-06,2.77810364e-06,2.77746858e-06,2.77778622e-06,2.77715094e-06,2.77905633e-06,2.77746858e-06,2.77842128e-06,2.77842128e-06,2.77619824e-06,2.7758806e-06,2.77715094e-06,2.77556319e-06,2.77524509e-06,2.77524509e-06,2.77651588e-06,2.7758806e-06,2.7758806e-06,2.77683353e-06,2.77492768e-06,2.77651588e-06,2.77524509e-06,2.77556319e-06,2.77397498e-06,2.77556319e-06,2.77365734e-06,2.77461004e-06,2.77365734e-06,2.77365734e-06,2.77238701e-06,2.77302206e-06,2.77143431e-06,2.77461004e-06,2.77365734e-06,2.77302206e-06,2.77238701e-06,2.77397498e-06,2.7733397e-06,2.77365734e-06,2.77048161e-06,2.77111667e-06,2.77016397e-06,2.77143431e-06,2.76984633e-06,2.7752199588e-06,2.4484251648622304e-09,2.7752199588
1,2.64344453e-06,2.64280925e-06,2.64439723e-06,2.64439723e-06,2.64407959e-06,2.64407959e-06,2.64249184e-06,2.64439723e-06,2.64376217e-06,2.64407959e-06,2.64185655e-06,2.64312689e-06,2.64280925e-06,2.64471487e-06,2.64439723e-06,2.64566756e-06,2.64344453e-06,2.64439723e-06,2.64312689e-06,2.64376217e-06,2.64376217e-06,2.64439723e-06,2.64439723e-06,2.64503228e-06,2.64217419e-06,2.64471487e-06,2.64312689e-06,2.64566756e-06,2.64376217e-06,2.64344453e-06,2.64312689e-06,2.64407959e-06,2.64280925e-06,2.64471487e-06,2.64280925e-06,2.64503228e-06,2.64503228e-06,2.64280925e-06,2.64376217e-06,2.64439723e-06,2.64280925e-06,2.64439723e-06,2.64344453e-06,2.64280925e-06,2.64439723e-06,2.64280925e-06,2.64439723e-06,2.64471487e-06,2.64407959e-06,2.64407959e-06,2.6438446324e-06,8.658073121048418e-10,2.6438446324
2,2.60438082e-06,2.60342813e-06,2.60501588e-06,2.60406318e-06,2.60469824e-06,2.60374554e-06,2.60469824e-06,2.60247498e-06,2.60438082e-06,2.60025195e-06,2.60438082e-06,2.60406318e-06,2.60374554e-06,2.60342813e-06,2.60279262e-06,2.60438082e-06,2.60279262e-06,2.60374554e-06,2.60342813e-06,2.60374554e-06,2.60247498e-06,2.60501588e-06,2.60279262e-06,2.60438082e-06,2.60342813e-06,2.60183992e-06,2.60438082e-06,2.60342813e-06,2.60215734e-06,2.60311049e-06,2.60342813e-06,2.60374554e-06,2.60342813e-06,2.60342813e-06,2.60247498e-06,2.60406318e-06,2.60342813e-06,2.60311049e-06,2.60374554e-06,2.60565116e-06,2.60152228e-06,2.60374554e-06,2.60438082e-06,2.60342813e-06,2.60247498e-06,2.60311049e-06,2.60438082e-06,2.60374554e-06,2.60342813e-06,2.60279262e-06,2.6035232522e-06,9.533558918563538e-10,2.6035232522
3,2.58691307e-06,2.58754835e-06,2.58723071e-06,2.58881846e-06,2.58723071e-06,2.58881846e-06,2.58691307e-06,2.58786577e-06,2.58627801e-06,2.5891361e-06,2.58691307e-06,2.58754835e-06,2.58659566e-06,2.58850105e-06,2.5891361e-06,2.58723071e-06,2.58723071e-06,2.58596037e-06,2.58850105e-06,2.58627801e-06,2.58818341e-06,2.58691307e-06,2.58691307e-06,2.58786577e-06,2.59040644e-06,2.58596037e-06,2.58723071e-06,2.58818341e-06,2.58691307e-06,2.58659566e-06,2.58723071e-06,2.58818341e-06,2.58627801e-06,2.58691307e-06,2.58881846e-06,2.58627801e-06,2.58691307e-06,2.58627801e-06,2.58627801e-06,2.58691307e-06,2.58691307e-06,2.58691307e-06,2.58691307e-06,2.58818341e-06,2.58850105e-06,2.58754835e-06,2.58786577e-06,2.58818341e-06,2.58754835e-06,2.58754835e-06,2.58744029e-06,9.433713136575438e-10,2.58744029
4,2.57357442e-06,2.57389183e-06,2.57293914e-06,2.57389183e-06,2.57484453e-06,2.57293914e-06,2.57357442e-06,2.57389183e-06,2.57389183e-06,2.57293914e-06,2.57420947e-06,2.57389183e-06,2.57357442e-06,2.57230408e-06,2.57516217e-06,2.57357442e-06,2.57420947e-06,2.57389183e-06,2.57325678e-06,2.57452712e-06,2.57389183e-06,2.57293914e-06,2.57357442e-06,2.57357442e-06,2.57420947e-06,2.57357442e-06,2.57198599e-06,2.57325678e-06,2.57230408e-06,2.5726215e-06,2.57198599e-06,2.57166857e-06,2.57325678e-06,2.57357442e-06,2.57325678e-06,2.57420947e-06,2.57357442e-06,2.57452712e-06,2.57293914e-06,2.57198599e-06,2.5726215e-06,2.57452712e-06,2.57357442e-06,2.57357442e-06,2.57389183e-06,2.57230408e-06,2.57325678e-06,2.57420947e-06,2.57325678e-06,2.57452712e-06,2.5734726789999997e-06,7.81688235606167e-10,2.5734726789999995
5,2.56182329e-06,2.56214093e-06,2.56277599e-06,2.56150588e-06,2.56277599e-06,2.5608706e-06,2.56214093e-06,2.5608706e-06,2.56436397e-06,2.56245858e-06,2.56277599e-06,2.5599179e-06,2.56341127e-06,2.56182329e-06,2.56277599e-06,2.56277599e-06,2.56182329e-06,2.56182329e-06,2.56499902e-06,2.56214093e-06,2.56214093e-06,2.56277599e-06,2.56214093e-06,2.5608706e-06,2.56341127e-06,2.55864734e-06,2.56309363e-06,2.56182329e-06,2.56341127e-06,2.56277599e-06,2.56214093e-06,2.56150588e-06,2.56341127e-06,2.56277599e-06,2.56277599e-06,2.56214093e-06,2.56309363e-06,2.56245858e-06,2.56245858e-06,2.56277599e-06,2.56277599e-06,2.5608706e-06,2.56372891e-06,2.56245858e-06,2.56150588e-06,2.56150588e-06,2.56309363e-06,2.56277599e-06,2.56309363e-06,2.56182329e-06,2.5623251022e-06,1.0496250006098018e-09,2.5623251022
6,2.55356576e-06,2.55229543e-06,2.55388363e-06,2.55261307e-06,2.55388363e-06,2.55356576e-06,2.55356576e-06,2.55324812e-06,2.55547161e-06,2.55483633e-06,2.55388363e-06,2.55166037e-06,2.55420127e-06,2.55197779e-06,2.55388363e-06,2.55229543e-06,2.55293048e-06,2.55261307e-06,2.55324812e-06,2.55356576e-06,2.55420127e-06,2.55388363e-06,2.55515397e-06,2.55388363e-06,2.55324812e-06,2.55261307e-06,2.55324812e-06,2.55324812e-06,2.55324812e-06,2.55197779e-06,2.55293048e-06,2.55420127e-06,2.55420127e-06,2.55134273e-06,2.55293048e-06,2.55356576e-06,2.55451891e-06,2.55515397e-06,2.55356576e-06,2.55261307e-06,2.55197779e-06,2.55356576e-06,2.55293048e-06,2.55134273e-06,2.55197779e-06,2.55324812e-06,2.55261307e-06,2.55261307e-06,2.55420127e-06,2.55515397e-06,2.5533308448e-06,9.816649242714876e-10,2.5533308448
7,2.54784936e-06,2.54530846e-06,2.54689621e-06,2.54626116e-06,2.54689621e-06,2.54753172e-06,2.54753172e-06,2.54626116e-06,2.54784936e-06,2.54626116e-06,2.54753172e-06,2.54721385e-06,2.54880206e-06,2.5456261e-06,2.54753172e-06,2.54848464e-06,2.54848464e-06,2.54721385e-06,2.54721385e-06,2.5456261e-06,2.54753172e-06,2.54784936e-06,2.54784936e-06,2.54626116e-06,2.5465788e-06,2.54753172e-06,2.54689621e-06,2.54784936e-06,2.5491197e-06,2.54784936e-06,2.5491197e-06,2.54721385e-06,2.54848464e-06,2.54784936e-06,2.54943734e-06,2.54689621e-06,2.5456261e-06,2.548167e-06,2.54753172e-06,2.54848464e-06,2.54848464e-06,2.54753172e-06,2.54753172e-06,2.54753172e-06,2.54753172e-06,2.54689621e-06,2.54594352e-06,2.5465788e-06,2.54626116e-06,2.5465788e-06,2.5473474474e-06,9.57283265485853e-10,2.5473474474
8,2.54372048e-06,2.54276779e-06,2.54245037e-06,2.54403813e-06,2.54245037e-06,2.54403813e-06,2.54372048e-06,2.54467318e-06,2.54245037e-06,2.54530846e-06,2.54372048e-06,2.54403813e-06,2.54308543e-06,2.54499082e-06,2.54340307e-06,2.54530846e-06,2.54403813e-06,2.54372048e-06,2.54340307e-06,2.54499082e-06,2.54372048e-06,2.54245037e-06,2.54276779e-06,2.54276779e-06,2.54372048e-06,2.54435577e-06,2.54245037e-06,2.54372048e-06,2.54403813e-06,2.54308543e-06,2.54467318e-06,2.54340307e-06,2.54308543e-06,2.54530846e-06,2.54403813e-06,2.54499082e-06,2.54403813e-06,2.54213273e-06,2.54403813e-06,2.54530846e-06,2.54372048e-06,2.54435577e-06,2.54308543e-06,2.54308543e-06,2.54276779e-06,2.54372048e-06,2.54435577e-06,2.54403813e-06,2.54276779e-06,2.54467318e-06,2.5437396106e-06,8.62498092063811e-10,2.5437396106
9,2.54181509e-06,2.54340307e-06,2.54403813e-06,2.54245037e-06,2.54149745e-06,2.54403813e-06,2.54245037e-06,2.54308543e-06,2.54213273e-06,2.54372048e-06,2.54117958e-06,2.54276779e-06,2.54245037e-06,2.54276779e-06,2.54213273e-06,2.54403813e-06,2.54181509e-06,2.54276779e-06,2.54054453e-06,2.54372048e-06,2.54245037e-06,2.54245037e-06,2.54276779e-06,2.54435577e-06,2.54117958e-06,2.54181509e-06,2.54276779e-06,2.54245037e-06,2.54276779e-06,2.54308543e-06,2.54276779e-06,2.54435577e-06,2.54213273e-06,2.54372048e-06,2.54054453e-06,2.54403813e-06,2.54054453e-06,2.54308543e-06,2.54245037e-06,2.54245037e-06,2.54086194e-06,2.54340307e-06,2.54245037e-06,2.54276779e-06,2.54276779e-06,2.54340307e-06,2.54245037e-06,2.54213273e-06,2.54213273e-06,2.54340307e-06,2.5426153788000003e-06,9.575311748525998e-10,2.5426153788000003
