angle_deg,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,mean_W,std_W,mean_uW
0,3.54381905e-06,3.54350141e-06,3.54127837e-06,3.54191343e-06,3.54032568e-06,3.54381905e-06,3.54127837e-06,3.54350141e-06,3.54350141e-06,3.5396904e-06,3.54254871e-06,3.54064332e-06,3.54350141e-06,3.54096073e-06,3.5396904e-06,3.54254871e-06,3.54000804e-06,3.54096073e-06,3.54254871e-06,3.54096073e-06,3.5396904e-06,3.54064332e-06,3.53841983e-06,3.54000804e-06,3.53841983e-06,3.53778478e-06,3.53937298e-06,3.53905534e-06,3.53841983e-06,3.53873747e-06,3.53683208e-06,3.53683208e-06,3.53841983e-06,3.53651444e-06,3.53841983e-06,3.53587916e-06,3.53746714e-06,3.53651444e-06,3.5371495e-06,3.53683208e-06,3.53397377e-06,3.5361968e-06,3.5361968e-06,3.53556175e-06,3.53460905e-06,3.53492646e-06,3.53397377e-06,3.53429141e-06,3.53429141e-06,3.53175051e-06,3.5388836840000002e-06,3.0390766547581385e-09,3.5388836840000004
1,3.41265331e-06,3.41201826e-06,3.41297095e-06,3.41265331e-06,3.41170062e-06,3.41297095e-06,3.41392365e-06,3.41201826e-06,3.41424129e-06,3.41265331e-06,3.41201826e-06,3.41424129e-06,3.41297095e-06,3.41424129e-06,3.41074792e-06,3.4123359e-06,3.41265331e-06,3.41170062e-06,3.41297095e-06,3.41011287e-06,3.41297095e-06,3.4113832e-06,3.41170062e-06,3.41392365e-06,3.41265331e-06,3.41170062e-06,3.41265331e-06,3.41265331e-06,3.41392365e-06,3.41424129e-06,3.41074792e-06,3.41297095e-06,3.4113832e-06,3.41360624e-06,3.4113832e-06,3.41297095e-06,3.41074792e-06,3.41297095e-06,3.4113832e-06,3.41297095e-06,3.41170062e-06,3.41074792e-06,3.41424129e-06,3.4123359e-06,3.41074792e-06,3.41201826e-06,3.41074792e-06,3.41170062e-06,3.41297095e-06,3.4113832e-06,3.4123866252000004e-06,1.0897141103211209e-09,3.4123866252000004
2,3.39963208e-06,3.39804433e-06,3.40090241e-06,3.39772669e-06,3.39931466e-06,3.39804433e-06,3.39836197e-06,3.40090241e-06,3.40122006e-06,3.39931466e-06,3.39931466e-06,3.40090241e-06,3.40026736e-06,3.39994972e-06,3.39836197e-06,3.39867938e-06,3.39867938e-06,3.40026736e-06,3.39899702e-06,3.400585e-06,3.39804433e-06,3.40026736e-06,3.40026736e-06,3.39804433e-06,3.39867938e-06,3.39867938e-06,3.40026736e-06,3.39994972e-06,3.39804433e-06,3.400585e-06,3.39963208e-06,3.40090241e-06,3.39867938e-06,3.40090241e-06,3.40026736e-06,3.39867938e-06,3.40026736e-06,3.39931466e-06,3.39836197e-06,3.39867938e-06,3.39994972e-06,3.40090241e-06,3.39804433e-06,3.39836197e-06,3.39867938e-06,3.400585e-06,3.39994972e-06,3.39963208e-06,3.39994972e-06,3.40026736e-06,3.3994860898000002e-06,1.0086832474875422e-09,3.3994860898000003
3,3.40090241e-06,3.40185511e-06,3.40312545e-06,3.40280781e-06,3.40185511e-06,3.400585e-06,3.4015377e-06,3.4015377e-06,3.40185511e-06,3.40376096e-06,3.4015377e-06,3.4015377e-06,3.40344332e-06,3.40217275e-06,3.40280781e-06,3.40122006e-06,3.4040786e-06,3.40344332e-06,3.4015377e-06,3.40185511e-06,3.40249039e-06,3.40217275e-06,3.40122006e-06,3.39963208e-06,3.400585e-06,3.4040786e-06,3.40249039e-06,3.40122006e-06,3.40185511e-06,3.40122006e-06,3.400585e-06,3.400585e-06,3.40280781e-06,3.40185511e-06,3.40344332e-06,3.400585e-06,3.40185511e-06,3.40249039e-06,3.40122006e-06,3.40026736e-06,3.4015377e-06,3.40344332e-06,3.40280781e-06,3.40344332e-06,3.40344332e-06,3.400585e-06,3.40280781e-06,3.40185511e-06,3.40217275e-06,3.40280781e-06,3.4020203807999998e-06,1.0633184123993068e-09,3.4020203808
4,3.41424129e-06,3.41011287e-06,3.41297095e-06,3.40915972e-06,3.41360624e-06,3.40884208e-06,3.41424129e-06,3.40915972e-06,3.4113832e-06,3.41170062e-06,3.41201826e-06,3.40884208e-06,3.4132886e-06,3.41170062e-06,3.41011287e-06,3.41297095e-06,3.41170062e-06,3.41011287e-06,3.4123359e-06,3.41074792e-06,3.4113832e-06,3.41106556e-06,3.41360624e-06,3.4113832e-06,3.41297095e-06,3.41043051e-06,3.41074792e-06,3.41265331e-06,3.41297095e-06,3.4113832e-06,3.41297095e-06,3.4123359e-06,3.41043051e-06,3.4113832e-06,3.41170062e-06,3.41424129e-06,3.41011287e-06,3.41297095e-06,3.4123359e-06,3.41106556e-06,3.41360624e-06,3.41170062e-06,3.41424129e-06,3.41297095e-06,3.41074792e-06,3.41011287e-06,3.41074792e-06,3.41170062e-06,3.41201826e-06,3.41424129e-06,3.4117895888e-06,1.4760643302466721e-09,3.4117895888
5,3.42567478e-06,3.42821568e-06,3.42662747e-06,3.42694489e-06,3.42853309e-06,3.42789758e-06,3.42694489e-06,3.42853309e-06,3.42694489e-06,3.42821568e-06,3.42662747e-06,3.42567478e-06,3.42821568e-06,3.42535714e-06,3.42758017e-06,3.42535714e-06,3.42694489e-06,3.42599219e-06,3.42821568e-06,3.42662747e-06,3.42694489e-06,3.42853309e-06,3.42535714e-06,3.42853309e-06,3.42599219e-06,3.42980343e-06,3.42980343e-06,3.42726253e-06,3.42948601e-06,3.42916837e-06,3.42694489e-06,3.42694489e-06,3.42758017e-06,3.42694489e-06,3.42694489e-06,3.42916837e-06,3.42726253e-06,3.42821568e-06,3.42948601e-06,3.42726253e-06,3.42726253e-06,3.42758017e-06,3.42948601e-06,3.42789758e-06,3.42758017e-06,3.42948601e-06,3.42599219e-06,3.42821568e-06,3.42789758e-06,3.42789758e-06,3.4275611834000002e-06,1.2025825381180238e-09,3.4275611834000004
6,3.44949422e-06,3.44949422e-06,3.45076432e-06,3.44822388e-06,3.4475886e-06,3.44822388e-06,3.45044691e-06,3.44949422e-06,3.44949422e-06,3.44822388e-06,3.44949422e-06,3.44949422e-06,3.45139961e-06,3.44981163e-06,3.44854152e-06,3.45108197e-06,3.45044691e-06,3.44949422e-06,3.44790624e-06,3.44885893e-06,3.44885893e-06,3.44917657e-06,3.44790624e-06,3.44981163e-06,3.44885893e-06,3.44822388e-06,3.44854152e-06,3.44822388e-06,3.45076432e-06,3.45076432e-06,3.4475886e-06,3.44854152e-06,3.45012927e-06,3.44854152e-06,3.44822388e-06,3.44981163e-06,3.45012927e-06,3.45044691e-06,3.44885893e-06,3.44790624e-06,3.44917657e-06,3.44822388e-06,3.44854152e-06,3.44917657e-06,3.44822388e-06,3.44790624e-06,3.44917657e-06,3.44981163e-06,3.44981163e-06,3.44822388e-06,3.4491511636e-06,9.753896895759355e-10,3.4491511636
7,3.4749014e-06,3.47521905e-06,3.47426635e-06,3.4758541e-06,3.47712444e-06,3.47617174e-06,3.47331365e-06,3.47521905e-06,3.47521905e-06,3.47648938e-06,3.47617174e-06,3.4749014e-06,3.4749014e-06,3.47299601e-06,3.47426635e-06,3.4736313e-06,3.47458399e-06,3.47617174e-06,3.47553669e-06,3.47617174e-06,3.4749014e-06,3.47394871e-06,3.4758541e-06,3.4749014e-06,3.47553669e-06,3.4749014e-06,3.47617174e-06,3.47744253e-06,3.47712444e-06,3.47553669e-06,3.4749014e-06,3.47553669e-06,3.47394871e-06,3.47426635e-06,3.4749014e-06,3.4749014e-06,3.4749014e-06,3.47680702e-06,3.47648938e-06,3.47521905e-06,3.47648938e-06,3.47458399e-06,3.47617174e-06,3.47394871e-06,3.47648938e-06,3.4749014e-06,3.47521905e-06,3.4749014e-06,3.47648938e-06,3.47617174e-06,3.4753333728e-06,1.0037953540857085e-09,3.4753333728
8,3.51078938e-06,3.51047197e-06,3.50920163e-06,3.50920163e-06,3.50824894e-06,3.50951927e-06,3.50729579e-06,3.50983669e-06,3.50824894e-06,3.512695e-06,3.50856658e-06,3.51047197e-06,3.50729579e-06,3.51047197e-06,3.50824894e-06,3.512695e-06,3.50824894e-06,3.50951927e-06,3.50983669e-06,3.51110702e-06,3.51142467e-06,3.51078938e-06,3.51142467e-06,3.50920163e-06,3.51078938e-06,3.51174231e-06,3.50761343e-06,3.51078938e-06,3.50824894e-06,3.51078938e-06,3.50920163e-06,3.51142467e-06,3.50951927e-06,3.50983669e-06,3.50793107e-06,3.50888399e-06,3.50951927e-06,3.50888399e-06,3.51015433e-06,3.51078938e-06,3.50983669e-06,3.50920163e-06,3.51015433e-06,3.50856658e-06,3.51078938e-06,3.51047197e-06,3.50824894e-06,3.50824894e-06,3.51047197e-06,3.50888399e-06,3.5097160658e-06,1.2999816779987156e-09,3.5097160657999997
9,3.54540725e-06,3.54890039e-06,3.54890039e-06,3.55017073e-06,3.54858298e-06,3.55144152e-06,3.54858298e-06,3.54826534e-06,3.54635995e-06,3.54890039e-06,3.54667759e-06,3.54731264e-06,3.54731264e-06,3.54890039e-06,3.54890039e-06,3.54890039e-06,3.55017073e-06,3.55017073e-06,3.55080601e-06,3.54890039e-06,3.54667759e-06,3.54858298e-06,3.54540725e-06,3.55080601e-06,3.546995e-06,3.54890039e-06,3.54763029e-06,3.55017073e-06,3.54508961e-06,3.54953568e-06,3.54763029e-06,3.55144152e-06,3.54858298e-06,3.55144152e-06,3.54858298e-06,3.5479477e-06,3.5479477e-06,3.54890039e-06,3.54890039e-06,3.54953568e-06,3.54635995e-06,3.54953568e-06,3.5479477e-06,3.54953568e-06,3.54667759e-06,3.54890039e-06,3.54858298e-06,3.54667759e-06,3.54890039e-06,3.54890039e-06,3.5485257767999996e-06,1.5160076625722076e-09,3.5485257767999996
